c,v,Text
1,42,"Confusion of castes leads to hell for the slayers of the family, for their forebears fall, deprived of the offerings of rice-balls and libations of water."
1,43,"By these evil deeds of the destroyers of the family, which cause confusion of castes, the eternal religious rites of the caste and the family are destroyed."
1,44,"We have heard, O Janardana, that those men in whose families the religious practices have been destroyed are inevitably destined to dwell in hell for an unknown period."
1,45,"Alas! We are involved in a great sin, for we are prepared to kill our kinsmen, out of greed for the pleasures of a kingdom."
1,46,"If the sons of Dhritarashtra, with weapons in hand, should slay me in battle, unresisting and unarmed, that would be better for me."
1,47,"Sanjaya said, Having thus spoken in the midst of the battlefield, Arjuna cast away his bow and arrow and, his mind overwhelmed with sorrow, sat down on the seat of the chariot."
2,1,"Sanjaya said: To him, who was thus overcome with pity, despondent, with eyes full of tears and agitated, Madhusudana (the destroyer of Madhu) or Krishna spoke these words."
2,2,"The Blessed Lord said, ""From whence has this perilous strait come upon you, this dejection which is unworthy of you, disgraceful, and which will close the gates of heaven upon you, O Arjuna?"""
2,3,"Do not yield to impotence, O Arjuna, son of Pritha. It does not befit you. Cast off this mean weakness of the heart! Stand up, O conqueror of foes!"
2,4,"Arjuna said, ""O Madhusudana, how can I fight in battle with arrows against Bhishma and Drona, who are worthy of being worshipped, O destroyer of enemies?"""
2,5,"Better it is, indeed, in this world to accept alms than to slay the most noble teachers. But if I were to kill them, even in this world, all my enjoyments of wealth and fulfilled desires would be stained with their blood."
2,6,"I can hardly tell which would be better, that we should conquer them or that they should conquer us. Even the sons of Dhritarashtra, whom we do not wish to slay, stand facing us."
2,7,"My heart is overpowered by the taint of pity; my mind is confused as to my duty. I ask Thee: Tell me decisively what is good for me. I am Thy disciple; instruct me, who has taken refuge in Thee."
2,8,"I do not see that this sorrow that burns up my senses would be removed, even if I were to attain prosperous and unrivaled dominion on earth or lordship over the gods."
2,9,"Sanjaya said: Having spoken thus to Hrishikesha, the Lord of the senses, Arjuna, the conqueror of sleep and destroyer of foes, said, ""I will not fight,"" and became silent."
2,10,"To him who was despondent in the midst of the two armies, Krishna, smiling, O Bharata, spoke these words."
2,11,"The Blessed Lord said, ""You have grieved for those who should not be grieved for; yet, you speak words of wisdom. The wise grieve neither for the living nor for the dead."""
2,12,"Nor, at any time, was I not, nor thou, nor these rulers of men; nor, verily, shall we ever cease to be hereafter."
2,13,"Just as the embodied soul passes through childhood, youth, and old age in this body, so too does it pass into another body; the steadfast one does not grieve over this."
2,14,"The contact of the senses with the objects, O son of Kunti, which causes heat and cold, pleasure and pain, has a beginning and an end; they are impermanent; endure them bravely, O Arjuna."
2,15,"That firm man, whom surely these afflictions do not, O chief among men, to whom pleasure and pain are the same, is fit for attaining immortality."
2,16,The unreal has no being; there is no non-being of the real; the truth about both has been seen by the knowers of the truth (or the seers of the essence).
2,17,"Know that to be indestructible, by which all this is pervaded. No one can cause the destruction of that, the Imperishable."
2,18,"These bodies of the embodied Self, which are eternal, indestructible, and immeasurable, are said to have an end. Therefore, fight, O Arjuna."
2,19,"He who takes the Self to be the slayer and he who thinks it is slain, neither of them knows. It does not slay, nor is it slain."
2,20,"It is not born, nor does it ever die; after having been, it again does not cease to be; unborn, eternal, changeless, and ancient, it is not killed when the body is killed."
2,21,"Whoever knows it to be indestructible, eternal, unborn, and inexhaustible, how can that person slay, O Arjuna, or cause to be slain?"
2,22,"Just as a man casts off worn-out clothes and puts on new ones, so too the embodied Self casts off worn-out bodies and enters others that are new."
2,23,"Weapons cannot cut it, fire cannot burn it, water cannot wet it, wind cannot dry it."
2,24,"This Self cannot be cut, burned, wetted, nor dried up; it is eternal, all-pervasive, stable, immovable, and ancient."
2,25,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve."
2,26,"But even if thou thinkest of It as constantly being born and constantly dying, even then, O mighty-armed one, thou shouldst not grieve."
2,27,"For the born, death is certain, and for the dead, birth is certain; therefore, you should not grieve over the inevitable."
2,28,"Beings are unmanifest in their beginning, manifest in their middle state, O Arjuna, and unmanifest again in their end. What is there to grieve about?"
2,29,"One sees this (the Self) as a wonder; another speaks of it as a wonder; another hears of it as a wonder; yet, having heard, none understands it at all."
2,30,"This indweller in the body of everyone is ever indestructible, O Arjuna; therefore, you should not grieve for any creature."
2,31,"Further, having regard to your duty, you should not waver, for there is nothing higher for a Kshatriya than a righteous war."
2,32,"Happy are the Kshatriyas, O Arjuna! who are called to fight in such a battle that comes of its own accord as an open door to heaven."
2,33,"But if you will not fight this righteous war, then having abandoned your own duty and reputation, you will incur sin."
2,34,"People will also recount your everlasting dishonor; and for one who has been honored, dishonor is worse than death."
2,35,"The great chariot-warriors will think that you have withdrawn from the battle out of fear, and you will be held in low esteem by those who have held you in high regard."
2,36,"Your enemies, scoffing at your power, will speak many abusive words—what could be more painful than this?"
2,37,"Slain, you will obtain heaven; victorious, you will enjoy the earth; therefore, stand up, O son of Kunti, resolved to fight."
2,38,"Having made pleasure and pain, gain and loss, victory and defeat equal, engage in battle for the sake of battle; thus, you shall not incur sin."
2,39,"This, which has been taught to you, is wisdom concerning Sankhya. Now listen to wisdom concerning Yoga, endowed with which, O Arjuna, you shall cast off the bonds of action."
2,40,"In this, there is no loss of effort, nor is there any harm produced, nor any transgression. Even a little of this knowledge protects one from great fear."
2,41,"Here, O joy of the Kurus, there is only one single-pointed determination; many-branched and endless are the thoughts of the indecisive."
2,42,"The unwise, taking pleasure in the eulogizing words of the Vedas, utter flowery speech, saying, ""There is nothing else,"" O Arjuna."
2,43,"Full of desires, with heaven as their goal, (they speak words that are directed to ends) leading to new births as the result of their works, and prescribe various methods abounding in specific actions, for the attainment of pleasure and power."
2,44,"For those who are attached to pleasure and power, whose minds are drawn away by such teachings, their determinate reason is not formed which is steadily bent on meditation and Samadhi (superconscious state)."
2,45,"The Vedas deal with the three attributes; be thou above these three attributes. O Arjuna, free yourself from the pairs of opposites and ever remain in the quality of Sattva, freed from acquisition and preservation, and be established in the Self."
2,46,"To the Brahmana who has known the Self, all the Vedas are of as much use as a reservoir of water would be in a place where there is a flood."
2,47,"Your right is only to work, but not to its results; do not let the results of action be your motive, nor let your attachment be to inaction."
2,48,"Perform action, O Arjuna, being steadfast in Yoga, abandoning attachment and balanced in success and failure; evenness of mind is called Yoga."
2,49,"Far lower than the Yoga of wisdom is action, O Arjuna. Seek thou refuge in wisdom; wretched are those whose motive is the fruit."
2,50,"Endowed with wisdom and evenness of mind, one casts off in this life both good and evil deeds; therefore, devote yourself to Yoga; Yoga is skill in action."
2,51,"The wise, possessing knowledge, having abandoned the fruits of their actions, and being freed from the bonds of birth, go to the place which is beyond all evil."
2,52,"When your intellect passes beyond the mire of delusion, then you will attain indifference to what has been heard and what has yet to be heard."
2,53,"When your intellect, which is perplexed by the Vedic texts you have read, stands immovable and steady in the Self, then you will attain Self-realization."
2,54,"Arjuna said, ""O Krishna, what is the description of one who has steady wisdom and is merged in the superconscious state? How does one of steady wisdom speak, how do they sit, and how do they walk?"""
2,55,"The Blessed Lord said, ""When a man completely casts off, O Arjuna, all the desires of the mind and is satisfied in the Self by the Self, then he is said to be one of steady wisdom."""
2,56,"He whose mind is not shaken by adversity, who does not long for pleasures, and is free from attachment, fear, and anger, is called a sage of steady wisdom."
2,57,"He who is everywhere without attachment, upon encountering anything good or bad, neither rejoices nor hastens; his wisdom is firm."
2,58,"When, like the tortoise which withdraws all its limbs on all sides, he withdraws his senses from the sense-objects, then his wisdom becomes steady."
2,59,"The objects of the senses turn away from the abstinent man, leaving the longing behind; but his longing also turns away upon seeing the Supreme."
2,60,"The turbulent senses, O Arjuna, can violently carry away the mind of a wise person, even though they are striving to control them."
2,61,"Having restrained them all, he should sit steadfast, intent on Me; his wisdom is steady whose senses are under control."
2,62,"When one thinks of objects, attachment to them arises; from attachment, desire is born; from desire, anger arises."
2,63,"Anger leads to delusion, which causes loss of memory; this, in turn, leads to the destruction of discrimination, resulting in destruction."
2,64,"But the self-controlled man, moving among objects with the senses restrained and free from attraction and repulsion, attains peace."
2,65,"In that peace, all pains are destroyed; for the intellect of the tranquil-minded soon becomes steady."
2,66,"There is no knowledge of the Self for the unsteady, and no meditation is possible for the unsteady, and no peace for the unmeditative, and how can there be happiness for one who has no peace?"
2,67,"For the mind, which follows in the wake of the wandering senses, carries away his discrimination, as the wind carries away a boat on the waters."
2,68,"Therefore, O mighty-armed Arjuna, his knowledge is steady whose senses are completely restrained from sense objects."
2,69,"That which is night to all beings, in that the self-controlled man is awake; when all beings are awake, that is night for the sage who sees."
2,70,"He attains peace into whom all desires enter, just as waters enter the ocean which, filled from all sides, remains unmoved; but not the man who is full of desires."
2,71,"That person attains peace who, abandoning all desires, moves about without longing, without the sense of ownership, and without egoism."
2,72,"O son of Pritha, this is the eternal state, the Brahmic seat. Attaining this, one is not deluded. Being established in it, one attains oneness with Brahman even at the end of life."
3,1,"Arjuna said: If Thou thinkest that knowledge is superior to action, O Krishna, why then, O Kesava, doest Thou ask me to engage in this terrible action?"
3,2,"With this seemingly perplexing speech, you seem to be confusing my understanding; therefore, tell me one certain way by which I may attain bliss."
3,3,"The Blessed Lord said, ""In this world, there is a twofold path, as I said before, O sinless one: the path of knowledge of the Sankhyas and the path of action of the Yogins."""
3,4,Man does not reach actionlessness by not performing actions; nor does he attain perfection by mere renunciation.
3,5,"Verily, no one can remain for even a moment without performing action; for everyone is made to act helplessly, indeed, by the qualities born of Nature."
3,6,"He who, restraining the organs of action, sits thinking of the sense-objects in his mind, he of deluded understanding is called a hypocrite."
3,7,"But whoever, controlling the senses by the mind, O Arjuna, engages himself in Karma Yoga with the organs of action, without attachment, he excels."
3,8,"Perform your bounden duty, for action is superior to inaction, and even the maintenance of the body would not be possible for you through inaction."
3,9,"The world is bound by actions other than those performed for the sake of sacrifice; do thou, therefore, O son of Kunti (Arjuna), perform actions for that sake alone, free from attachment."
3,10,"The Creator, having in the beginning created mankind together with sacrifice, said, ""By this shall you propagate; let this be the milch cow of your desires—the cow that yields all the desired objects."""
3,11,"With this, nourish the gods, and may the gods nourish you; thus, nourishing each other, you shall attain the highest good."
3,12,"The gods, nourished by the sacrifice, will give you the desired objects. So, he who enjoys the objects given by the gods without offering anything in return is indeed a thief."
3,13,The righteous who eat the remnants of the sacrifice are freed from all sins; but those sinful ones who cook food solely for their own sake indeed consume sin.
3,14,"From food come forth beings; from rain, food is produced; from sacrifice arises rain, and sacrifice is born of action."
3,15,"Know that action comes from Brahma, and Brahma comes from the Imperishable. Therefore, the all-pervasive Brahma ever rests in sacrifice."
3,16,"He who does not follow the wheel thus set in motion, who is of sinful life, rejoicing in the senses, lives in vain, O Arjuna."
3,17,"But for that man who rejoices only in the Self, who is satisfied with the Self and is content in the Self alone, indeed there is nothing to do."
3,18,"For him, there is no interest whatsoever in what is done or not done; nor does he depend on any being for any purpose."
3,19,"Therefore, without attachment, always perform the actions that should be done; for by performing actions without attachment, one reaches the Supreme."
3,20,"Janaka and others attained perfection indeed through action alone; even with the intention of protecting the masses, you should perform action."
3,21,"Whatever a great man does, others also do; whatever he establishes as the standard, the world follows."
3,22,"There is nothing in the three worlds, O Arjuna, that needs to be done by Me, nor is there anything unattained that needs to be attained; yet I engage Myself in action."
3,23,"For, should I not ever engage myself in action, unwearied, people would in every way follow my path, O Arjuna."
3,24,These worlds would perish if I did not perform action; I would be the author of confusion of castes and destruction of these beings.
3,25,"As the ignorant act out of attachment to action, O Bharata, so should the wise act without attachment, wishing for the welfare of the world."
3,26,"Let no wise man unsettle the minds of ignorant people who are attached to action; he should engage them in all actions, himself fulfilling them with devotion."
3,27,"All actions are wrought in all cases by the qualities of Nature alone. He whose mind is deluded by egoism thinks, ""I am the doer."""
3,28,"But he who knows the Truth, O mighty-armed Arjuna, about the divisions of the qualities and their functions, knowing that the Gunas, as senses, move amidst the Gunas, as the sense-objects, is not attached."
3,29,Those deluded by the qualities of Nature are attached to the functions of the qualities. The man of perfect knowledge should not unsettle the foolish one who is of imperfect knowledge.
3,30,"Renouncing all actions in Me, with the mind centered on the Self, free from hope and egoism, and from mental fever, fight thou."
3,31,"Those who constantly practice this teaching of Mine with faith and without caviling, they too are freed from actions."
3,32,"But those who criticize My teaching and do not practice it, deprived of all knowledge and lacking discernment, know them to be doomed to destruction."
3,33,Even a wise man acts in accordance with his own nature; beings will follow their nature; what can restraint do?
3,34,"Attachment and aversion for the objects of the senses abide in the senses; let no one come under their sway; for, they are his enemies."
3,35,"Better is one's own duty, though devoid of merit, than the duty of another well discharged. Better is death in one's own duty; the duty of another is fraught with fear."
3,36,"Arjuna said, ""But what compels man to commit sin, even against his wishes, O Varshneya (Krishna), as if constrained by force?"""
3,37,"The Blessed Lord said, ""It is desire and it is anger, both of the quality of Rajas, all-devouring and all-sinful; know this as the foe here in this world."""
3,38,"As fire is enveloped by smoke, as a mirror is covered by dust, and as an embryo is surrounded by the amniotic sac, so is this enveloped by that."
3,39,"O Arjuna, wisdom is enveloped by this constant enemy of the wise, in the form of desire, which is insatiable like fire."
3,40,"The senses, the mind, and the intellect are said to be its seat; through these, it deludes the embodied one, veiling their wisdom."
3,41,"Therefore, O best of the Bharatas, control your senses first and then kill this sinful thing, which destroys knowledge and realization."
3,42,They say that the senses are superior to the body; the mind is superior to the senses; the intellect is superior to the mind; and He (the Self) is superior even to the intellect.
3,43,"Thus, knowing Him who is superior to the intellect and restraining the self by the Self, slay thou, O mighty-armed Arjuna, the enemy in the form of desire, hard to conquer."
4,1,"The Blessed Lord said, ""I taught this imperishable Yoga to Vivasvan; he then told it to Manu; Manu proclaimed it to Ikshvaku."
4,2,"This, handed down in regular succession by the royal sages, was known. This Yoga, however, has been lost here over time, O Parantapa (burner of the foes)."
4,3,"That same ancient yoga has been today taught to you by me, for you are my devotee and my friend; it is the supreme secret."
4,4,"Arjuna said, ""Later was Thy birth, and prior to it was the birth of Vivasvan (the Sun); how am I to understand that Thou hast taught this Yoga from the beginning?"""
4,5,"The Blessed Lord said, ""Many births of Mine have passed, as well as of thine, O Arjuna; I know them all, but thou knowest not, O Parantapa (scorcher of foes)."""
4,6,"Though I am unborn and of imperishable nature, and though I am the Lord of all beings, yet, governing my own nature, I am born by my own Maya."
4,7,"Whenever there is a decline of righteousness and an increase of unrighteousness, O Arjuna, then I manifest Myself."
4,8,"For the protection of the good, for the destruction of the wicked, and for the establishment of righteousness, I am born in every age."
4,9,"He who thus knows, in their true light, My divine birth and actions, having abandoned the body, is not born again; he comes to Me, O Arjuna."
4,10,"Freed from attachment, fear, and anger, absorbed in Me, taking refuge in Me, purified by the fire of knowledge, many have attained My Being."
4,11,"In whatever way men approach Me, even so do I reward them; My path do men tread in all ways, O Arjuna."
4,12,Those who long for success in action in this world sacrifice to the gods; for success is quickly attained by men through action.
4,13,"The fourfold caste has been created by Me according to the differentiation of Guna and Karma; though I am the author of it, know Me as non-doer and immutable."
4,14,"Actions do not taint Me, nor do I have a desire for the fruit of actions. He who knows Me thus is not bound by actions."
4,15,"Having known this, the ancient seekers of freedom also performed action; therefore, do thou also perform action, as the ancients did in days of yore."
4,16,"What is action? What is inaction? Even the wise are confused about this. Therefore, I shall teach you the nature of action and inaction, by knowing which you will be liberated from the evil of Samsara, the wheel of birth and death."
4,17,"For verily, the true nature of action enjoined by the scriptures should be known, as well as that of forbidden or unlawful action, and of inaction; the nature of action is hard to understand."
4,18,"He who sees inaction in action and action in inaction, he is wise among men; he is a yogi and performer of all actions."
4,19,"He whose undertakings are all devoid of desires and selfish purposes, and whose actions have been burned by the fire of knowledge, the wise call him a sage."
4,20,"Having abandoned attachment to the fruits of the action, ever content, depending on nothing, he does not do anything even while being engaged in activity."
4,21,"Without hope, controlling the mind and the self, having abandoned all covetousness, and performing only bodily actions, one incurs no sin."
4,22,"Content with what comes to him without effort, free from the pairs of opposites and envy, even-minded in success and failure, he acts yet is not bound."
4,23,"To one who is devoid of attachment, who is liberated, whose mind is established in knowledge, and who works for the sake of sacrifice (for the sake of God), the whole action is dissolved."
4,24,Brahman is the oblation; Brahman is the melted butter (ghee); by Brahman is the oblation poured into the fire of Brahman; Brahman indeed shall be attained by one who always sees Brahman in action.
4,25,"Some yogis perform sacrifice to the gods alone; while others, who have realized the Self, offer the Self as sacrifice in the fire of Brahman alone."
4,26,Some again offer the organ of hearing and other senses as a sacrifice in the fire of restraint; others offer sound and other objects of the senses as a sacrifice in the fire of the senses.
4,27,"Others again sacrifice all the functions of the senses and those of the breath (vital energy, or Prana) in the fire of the Yoga of self-restraint, kindled by knowledge."
4,28,"Others again offer wealth, austerity, and Yoga as sacrifice, while ascetics of self-restraint and rigid vows offer the study of scriptures and knowledge as sacrifice."
4,29,"Others offer as sacrifice the outgoing breath into the incoming, and the incoming into the outgoing, restraining the flow of the outgoing and the incoming breaths, solely absorbed in the restraint of the breath."
4,30,"Others who regulate their diet offer life-breaths in each life-breath. All these are knowers of sacrifice, whose sins are destroyed through sacrifice."
4,31,"Those who eat the remnants of the sacrifice, which are like nectar, go to the eternal Brahman. This world is not for the one who does not perform sacrifice; how then can they have the other, O Arjuna?"
4,32,"Thus, manifold sacrifices are spread out before Brahman at the face of Brahman. Know them all to be born of action, and thus knowing, you shall be liberated."
4,33,"Superior is wisdom-sacrifice to the sacrifice with objects, O Parantapa (scorcher of the foes). All actions in their entirety, O Arjuna, culminate in knowledge."
4,34,"Know that the wise who have realized the truth will instruct thee in that knowledge through long prostration, supplication, and service."
4,35,"Knowing that thou shalt not, O Arjuna, again be deluded like this; and by that thou shalt see all beings in thyself and also in me."
4,36,"Even if thou art the most sinful of all sinners, yet thou shalt surely cross over all sins by the raft of knowledge."
4,37,"As the blazing fire reduces fuel to ashes, O Arjuna, so does the fire of knowledge reduce all actions to ash."
4,38,"Verily, there is no purifier in this world like knowledge. He who is perfected in Yoga finds it within the Self in due time."
4,39,"The one who is full of faith, devoted to it, and has subdued their senses obtains this knowledge; and upon obtaining the knowledge, they attain the supreme peace immediately."
4,40,"The ignorant, the faithless, and the doubting self go to destruction; there is neither this world nor the other, nor happiness for the doubting one."
4,41,"He who has renounced actions through Yoga, whose doubts have been dispelled by knowledge, and who is self-possessed—such a one is not bound by actions, O Arjuna."
4,42,"Therefore, with the sword of knowledge (of the Self), cut asunder the doubt of the self, born of ignorance, residing in your heart, and take refuge in Yoga. Arise, O Arjuna!"
5,1,"Arjuna said, ""O Krishna, you praise renunciation of actions and also yoga. Please tell me conclusively which is better of the two."""
5,2,"The Blessed Lord said, ""Renunciation and the Yoga of action both lead to the highest bliss; but of the two, the Yoga of action is superior to the renunciation of action."""
5,3,"He should be known as a perpetual Sannyasi who neither hates nor desires; for, free from the pairs of opposites, O mighty-armed Arjuna, he is easily freed from bondage."
5,4,"Children, not the wise, speak of knowledge and the Yoga of action, or the performance of action, as though they are distinct and different; he who is truly established in one, obtains the fruits of both."
5,5,"That place which is reached by the Sankhyas or the Jnanis is also reached by the Yogis (Karma Yogis). He who sees knowledge and the performance of action (Karma Yoga) as one, sees truly."
5,6,"But, O mighty-armed Arjuna, renunciation is hard to attain without Yoga; the sage who is in harmony with Yoga quickly goes to Brahman."
5,7,"He who is devoted to the path of action, whose mind is pure, who has conquered the self, who has subdued his senses, and who realizes his Self as the Self in all beings, though acting, is not tainted."
5,8,"""I do nothing at all,"" thus would the harmonized knower of Truth think, seeing, hearing, touching, smelling, eating, going, sleeping, and breathing."
5,9,"Speaking, letting go, seizing, opening, and closing the eyes, one should be convinced that the senses move among the sense-objects."
5,10,"He who does actions, offering them to Brahman and abandoning attachment, is not tainted by sin, just as a lotus leaf is not tainted by water."
5,11,"Yogis, having abandoned attachment, perform actions only through the body, mind, intellect, and even the senses, for the purification of the self."
5,12,"The one who is united (the well-poised or harmonized) having abandoned the fruit of action attains eternal peace; whereas the one who is not united (the unsteady or unbalanced), impelled by desire and attached to the fruit, is bound."
5,13,"Mentally renouncing all actions and being self-controlled, the embodied one happily rests in the nine-gated city, neither acting nor causing others (body and senses) to act."
5,14,"Neither does the Lord create agency nor actions for the world, nor union with the fruits of actions; rather, it is Nature that acts."
5,15,"The Lord takes neither the demerit nor the merit of any; knowledge is enveloped by ignorance, and beings are deluded."
5,16,"But to those whose ignorance is destroyed by knowledge of the Self, like the sun, knowledge reveals the Supreme Brahman."
5,17,"Their intellect absorbed in That, their self being That, established in That, with That as their supreme goal, they go whence there is no return, their sins dispelled by knowledge."
5,18,"Sages look with an equal eye on a Brahmana endowed with learning and humility, on a cow, an elephant, a dog, and even an outcaste."
5,19,"Even here in this world, those whose minds rest in reality overcome birth; Brahman is indeed spotless and real; therefore they are established in Brahman."
5,20,"Resting in Brahman, with a steady intellect and undeluded, the knower of Brahman neither rejoices upon obtaining what is pleasant nor grieves upon obtaining what is unpleasant."
5,21,"With the self unattached to external contacts, he finds happiness in the Self; with the self engaged in the meditation of Brahman, he attains endless happiness."
5,22,"The enjoyments that arise from contact are only sources of pain, for they have a beginning and an end, O Arjuna; the wise do not rejoice in them."
5,23,"He who is able, while still here in this world, to withstand the impulse born out of desire and anger before the liberation from the body, he is a Yogi, and he is a happy man."
5,24,"He who is happy within, who rejoices within, and who is illuminated within, that Yogi attains absolute freedom, or Moksha, becoming Brahman himself."
5,25,"The sages obtain absolute freedom or Moksha when their sins have been destroyed, their dualities have been torn asunder, they are self-controlled, and they are intent on the welfare of all beings."
5,26,"Absolute freedom exists on all sides for those self-controlled ascetics who are free from desire and anger, who have controlled their thoughts, and who have realized the Self."
5,27,"Shutting out all external contacts and fixing the gaze between the eyebrows, realizing the outgoing and incoming breaths moving within the nostrils."
5,28,"With the senses, mind, and intellect ever controlled, having liberation as their supreme goal, free from desire, fear, and anger, the sage is truly liberated forever."
5,29,"He who knows Me as the enjoyer of sacrifices and austerities, the great Lord of all the worlds, and the friend of all beings, attains peace."
6,1,"The Blessed Lord said: He who performs his bounden duty without depending on the fruits of his actions—he is a sannyasi and a yogi, not he who is without fire and without action."
6,2,"Do you, O Arjuna, know that Yoga is what they call renunciation; no one indeed becomes a Yogi who has not renounced their thoughts."
6,3,"For a sage who wishes to attain to Yoga, action is said to be the means; for the same sage who has attained Yoga, inaction is said to be the means."
6,4,"When a person is not attached to the sense-objects or to actions, having renounced all thoughts, then they are said to have attained Yoga."
6,5,"One should raise oneself by one's own self alone; let not one lower oneself; for the self alone is one's own friend, and the self alone is one's own enemy."
6,6,"The Self is the friend of the self of him by whom the Self has been conquered; but to the unconquered self, this Self stands in the position of an enemy, like an external foe."
6,7,"The Supreme Self of him who is self-controlled and peaceful remains balanced in cold and heat, pleasure and pain, as well as in honor and dishonor."
6,8,"The Yogi who is satisfied with the knowledge and wisdom of the Self, who has conquered the senses, and to whom a clod of earth, a piece of stone, and gold are all the same, is said to have attained Nirvikalpa Samadhi."
6,9,"He who is of the same mind towards the good-hearted, friends, enemies, the indifferent, the neutral, the hateful, the relatives, the righteous, and the unrighteous, excels."
